A¤o;Mes;ID_Empresa;Tamano;Categoria;Sexo;Grupo;Division;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;12;4;3;P;2;9;1;70629005;20055;80189918;20769;77526201;19677;88729447;20665
2019;12;5;3;O;1;1;1;8362488;567;9414676;567;9002085;567;9361190;567
2019;12;5;3;O;1;2;1;268397023;30429;286579778;30429;270502119;30429;289572271;30429
2019;12;5;3;O;1;3;1;49422858;9261;52513351;9261;48429636;9450;52303764;9450
2019;12;5;3;O;1;4;1;32114022;7391;34439095;7391;30480306;7371;32935403;7371
2019;12;5;3;O;1;5;1;;;;;;;;
2019;12;5;3;O;1;6;1;;;;;;;;
2019;12;5;3;O;1;7;1;;;;;;;;
2019;12;5;3;O;1;8;1;2108008;756;2251665;756;2118877;756;2296390;756
2019;12;5;3;O;1;9;1;;;;;;;;
2019;12;5;3;O;2;1;1;33295328;1701;36241033;1701;38494865;1701;39694637;1701
2019;12;5;3;O;2;2;1;268099453;27783;287802800;27783;277067796;28161;294975014;28161
2019;12;5;3;O;2;3;1;15619787;2835;16822188;2835;14855808;2835;15958317;2835
2019;12;5;3;O;2;4;1;18419498;4725;20947777;4725;18907759;4725;20377278;4725
2019;12;5;3;O;2;5;1;;;;;;;;
2019;12;5;3;O;2;6;1;;;;;;;;
2019;12;5;3;O;2;7;1;;;;;;;;
2019;12;5;3;O;2;8;1;3560484;1134;4262872;1134;3647728;1134;3949352;1134
2019;12;5;3;O;2;9;1;;;;;;;;
2019;12;6;3;P;1;1;1;76866546;7740;80017867;7740;80115420;7443;83437859;7443
2019;12;6;3;P;1;2;1;342416303;46307;358930078;46307;362075694;44701;379182249;44701
2019;12;6;3;P;1;3;1;174246774;46720;183204247;46801;170136399;44991;178990987;45081
2019;12;6;3;P;1;4;1;173779216;55976;184526719;56391;199754729;53538;212328447;54112
2019;12;6;3;P;1;5;1;;;;;;;;
2019;12;6;3;P;1;6;1;;;;;;;;
2019;12;6;3;P;1;7;1;;;;;;;;
2019;12;6;3;P;1;8;1;;;;;;;;
2019;12;6;3;P;1;9;1;;;;;;;;
2019;12;6;3;P;2;1;1;73391059;6837;76723291;6837;72955123;7154;76273911;7154
2019;12;6;3;P;2;2;1;330330108;39447;345584710;39447;347318922;39609;363484372;39609
2019;12;6;3;P;2;3;1;136343159;28961;143010293;29051;134525206;28400;141339150;28546
2019;12;6;3;P;2;4;1;109433138;33794;116072502;34060;121471043;33155;128988553;33496
2019;12;6;3;P;2;5;1;;;;;;;;
2019;12;6;3;P;2;6;1;;;;;;;;
2019;12;6;3;P;2;7;1;;;;;;;;
2019;12;6;3;P;2;8;1;;;;;;;;
2019;12;6;3;P;2;9;1;;;;;;;;
2019;12;7;3;O;1;1;1;177580123;8360;189167324;8360;182532144;8417;194452756;8417
2019;12;7;3;O;1;2;1;452753125;42015;509755888;42342;469836909;42305;547283930;43119
2019;12;7;3;O;1;3;1;;;;;;;;
2019;12;7;3;O;1;4;1;103372487;18358;121286073;18774;106712972;18528;133484897;19076
2019;12;7;3;O;1;5;1;326589;95;624860;108;671469;189;1080927;214
2019;12;7;3;O;1;6;1;;;;;;;;
2019;12;7;3;O;1;7;1;;;;;;;;
2019;12;7;3;O;1;8;1;;;;;;;;
2019;12;7;3;O;1;9;1;;;;;;;;
2019;12;7;3;O;2;1;1;248543630;11151;262334799;11151;252015177;11151;268037198;11151
2019;12;7;3;O;2;2;1;394642044;34814;439806903;34972;410760290;35425;469030890;35870
2019;12;7;3;O;2;3;1;;;;;;;;
2019;12;7;3;O;2;4;1;37993091;7403;46839490;7653;37717619;7094;47309558;7363
2019;12;7;3;O;2;5;1;11157710;3213;17445308;3987;11470132;3213;16198629;3625
2019;12;7;3;O;2;6;1;;;;;;;;
2019;12;7;3;O;2;7;1;;;;;;;;
2019;12;7;3;O;2;8;1;6281039;1890;8217907;1990;6456901;1890;8559057;1963
2019;12;7;3;O;2;9;1;1159727;378;1494380;422;1192200;378;1542420;421
2019;12;8;3;I;1;1;1;;;;;;;;
2019;12;8;3;I;1;2;1;22970935;4063;24747269;4063;19241652;3822;21245474;3822
2019;12;8;3;I;1;3;1;8956704;2670;9625414;2680;8474017;2602;9296086;2602
2019;12;8;3;I;1;4;1;19746744;7577;22631307;7594;20055158;7554;23501503;7554
2019;12;8;3;I;1;5;1;49978477;20758;54487554;20858;49748668;19808;55466134;19808
2019;12;8;3;I;1;6;1;;;;;;;;
2019;12;8;3;I;1;7;1;390440;194;418449;196;395523;194;436369;194
2019;12;8;3;I;1;8;1;1127079;479;1219156;479;1417015;539;1554134;539
2019;12;8;3;I;1;9;1;8881357;4149;9612886;4163;7921655;3634;8927665;3634
2019;12;8;3;I;2;1;1;;;;;;;;
2019;12;8;3;I;2;2;1;16478796;3274;17859602;3274;15938337;3160;17575229;3160
2019;12;8;3;I;2;3;1;7118151;2215;7705980;2235;6340457;2199;6997164;2199
2019;12;8;3;I;2;4;1;7351444;2563;8102634;2567;7288594;2571;8184601;2571
2019;12;8;3;I;2;5;1;28562738;12166;30921716;12223;28811751;12153;31835292;12153
2019;12;8;3;I;2;6;1;;;;;;;;
2019;12;8;3;I;2;7;1;1349848;387;1478187;388;1423579;387;1580383;387
2019;12;8;3;I;2;8;1;4339643;1646;4591338;1646;5592565;2294;5977968;2294
2019;12;8;3;I;2;9;1;12818147;5064;14080841;5093;12959135;4931;14526213;4931
2019;12;9;3;F;1;1;1;0;0;0;0;0;0;0;0
2019;12;9;3;F;1;2;1;50922015;4430;56962537;4430;46875952;3964;52721467;3964
2019;12;9;3;F;1;3;1;45741897;5974;51953862;5974;29996473;4086;34955914;4086
2019;12;9;3;F;1;4;1;22110505;2962;25341276;3016;18368355;2470;21170506;2522
2019;12;9;3;F;1;5;1;0;0;0;0;0;0;0;0
2019;12;9;3;F;1;6;1;1606875;194;1707999;194;1606875;194;1707999;194
2019;12;9;3;F;1;7;1;24260758;3708;28891876;3732;14307674;2418;16687848;2418
2019;12;9;3;F;1;8;1;3115389;479;3525304;479;2020667;388;2260813;388
2019;12;9;3;F;1;9;1;7638986;1972;8908697;1986;8449804;2044;10459408;2101
2019;12;9;3;F;2;1;1;12919802;194;13191120;194;12919802;194;13192302;194
2019;12;9;3;F;2;2;1;1147310598;60434;1258031270;60472;1076623295;54490;1172020848;54533
2019;12;9;3;F;2;3;1;699796463;69022;810655137;69088;523222931;54217;605292969;54308
2019;12;9;3;F;2;4;1;83597932;11841;99392426;11966;72364483;9998;84965248;10094
2019;12;9;3;F;2;5;1;0;0;0;0;0;0;0;0
2019;12;9;3;F;2;6;1;5246861;582;6269143;582;5246861;582;6269143;582
2019;12;9;3;F;2;7;1;2155162828;450071;2738134431;451474;1541566085;353988;1954665475;356531
2019;12;9;3;F;2;8;1;296341825;60483;368030982;60940;251670045;56367;317119921;57662
2019;12;9;3;F;2;9;1;36494486;7637;46322835;7720;34934715;7184;43565774;7237
2019;12;10;1;Q;1;1;1;4697830;180;4768016;180;4697830;180;4768234;180
2019;12;10;1;Q;1;2;1;5035521;388;5211931;388;4858656;388;5038491;388
2019;12;10;1;Q;1;3;1;2153634;776;2265157;776;2153634;776;2296307;776
2019;12;10;1;Q;1;4;1;2729734;776;2890023;776;3395917;970;3625877;970
2019;12;10;1;Q;1;5;1;;;;;;;;
2019;12;10;1;Q;1;6;1;;;;;;;;
2019;12;10;1;Q;1;7;1;;;;;;;;
2019;12;10;1;Q;1;8;1;;;;;;;;
2019;12;10;1;Q;1;9;1;;;;;;;;
2019;12;10;1;Q;2;1;1;2402218;194;2511059;194;2406921;194;2516119;194
2019;12;10;1;Q;2;2;1;10766532;970;11329752;970;10149312;970;10685441;970
2019;12;10;1;Q;2;3;1;;;;;;;;
2019;12;10;1;Q;2;4;1;573146;86;604899;86;573146;86;613264;86
2019;12;10;1;Q;2;5;1;;;;;;;;
2019;12;10;1;Q;2;6;1;;;;;;;;
2019;12;10;1;Q;2;7;1;;;;;;;;
2019;12;10;1;Q;2;8;1;;;;;;;;
2019;12;10;1;Q;2;9;1;94798;40;100049;40;94798;40;100049;40
