A¤o;Mes;ID_Empresa;Tamano;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;5;4;3;P;2;9;1;72393059;20055;84963788;20853;71778223;19866;86282492;20961
2019;5;5;3;O;1;1;1;8351156;567;8668465;567;8351156;567;9383759;567
2019;5;5;3;O;1;2;1;267789962;30051;285543973;30051;268095757;30240;287540412;30240
2019;5;5;3;O;1;3;1;46728485;9261;50277898;9261;46284189;9261;49097470;9261
2019;5;5;3;O;1;4;1;31530178;7749;34365375;7749;31980684;7749;34565053;7749
2019;5;5;3;O;1;5;1;;;;;;;;
2019;5;5;3;O;1;6;1;;;;;;;;
2019;5;5;3;O;1;7;1;;;;;;;;
2019;5;5;3;O;1;8;1;2076316;756;2234805;756;2076316;756;2347083;756
2019;5;5;3;O;1;9;1;;;;;;;;
2019;5;5;3;O;2;1;1;23678938;1323;25259088;1323;23890504;1323;26090450;1323
2019;5;5;3;O;2;2;1;255213905;26460;355256912;26460;270473135;27594;292946131;27594
2019;5;5;3;O;2;3;1;17361404;3024;18799798;3024;15622233;2835;16984403;2835
2019;5;5;3;O;2;4;1;18640585;4914;21231050;4914;18433644;4725;21144382;4725
2019;5;5;3;O;2;5;1;;;;;;;;
2019;5;5;3;O;2;6;1;;;;;;;;
2019;5;5;3;O;2;7;1;;;;;;;;
2019;5;5;3;O;2;8;1;3534862;1134;4596654;1134;3534748;1134;4663935;1134
2019;5;5;3;O;2;9;1;;;;;;;;
2019;5;6;3;P;1;1;1;72861683;7069;77841556;7069;71619060;7250;74607862;7250
2019;5;6;3;P;1;2;1;353094300;46191;377576680;46191;335195386;46327;351424061;46327
2019;5;6;3;P;1;3;1;180619218;47640;191634837;47819;174857402;47807;183991620;47940
2019;5;6;3;P;1;4;1;171687345;56302;184301741;57220;155120220;56521;165928982;57313
2019;5;6;3;P;1;5;1;;;;;;;;
2019;5;6;3;P;1;6;1;;;;;;;;
2019;5;6;3;P;1;7;1;;;;;;;;
2019;5;6;3;P;1;8;1;;;;;;;;
2019;5;6;3;P;1;9;1;;;;;;;;
2019;5;6;3;P;2;1;1;83751265;7353;90068568;7353;81340084;7353;85033102;7353
2019;5;6;3;P;2;2;1;373615384;42840;398243722;42840;348111617;42949;364324402;42949
2019;5;6;3;P;2;3;1;148742133;31038;157551276;31246;141632443;31151;149221924;31373
2019;5;6;3;P;2;4;1;102899125;35388;110781644;36024;89056605;34168;95717599;34778
2019;5;6;3;P;2;5;1;;;;;;;;
2019;5;6;3;P;2;6;1;;;;;;;;
2019;5;6;3;P;2;7;1;;;;;;;;
2019;5;6;3;P;2;8;1;;;;;;;;
2019;5;6;3;P;2;9;1;;;;;;;;
2019;5;7;3;O;1;1;1;172632587;8136;183694205;8136;161129699;7946;171851620;7946
2019;5;7;3;O;1;2;1;453436351;44273;512501679;44705;451175520;44462;517290861;44925
2019;5;7;3;O;1;3;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;4;1;106786072;19298;126574752;19793;104525253;19298;124610592;19726
2019;5;7;3;O;1;5;1;1306360;378;1664592;396;1306360;378;1685724;400
2019;5;7;3;O;1;6;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;7;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;8;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;1;9;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;2;1;1;262683734;11730;285023564;11730;258975830;11730;277025191;11730
2019;5;7;3;O;2;2;1;394254781;35380;440827063;35587;392696051;35570;441749908;35766
2019;5;7;3;O;2;3;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;2;4;1;38835437;7568;47399743;7903;39344837;7568;48446641;7878
2019;5;7;3;O;2;5;1;11067423;3216;15522790;3636;11157710;3216;15462286;3604
2019;5;7;3;O;2;6;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;2;7;1;0;0;0;0;0;0;0;0
2019;5;7;3;O;2;8;1;6823407;2081;9517835;2232;6823407;2081;8892946;2233
2019;5;7;3;O;2;9;1;1159727;378;1480229;414;1159727;378;1491045;418
2019;5;8;3;I;1;1;1;;;;;;;;
2019;5;8;3;I;1;2;1;25327176;4583;28062146;4591;26041616;4621;28200832;4627
2019;5;8;3;I;1;3;1;6357166;1161;6799860;1162;6756543;1161;7229068;1163
2019;5;8;3;I;1;4;1;17887590;6718;20926864;6795;18281920;6859;21251668;6935
2019;5;8;3;I;1;5;1;54823899;22755;60718141;23140;56330427;23762;62077913;24170
2019;5;8;3;I;1;6;1;;;;;;;;
2019;5;8;3;I;1;7;1;383760;194;411734;196;383760;194;417523;198
2019;5;8;3;I;1;8;1;3780254;1613;4265125;1614;3874955;1663;4232162;1664
2019;5;8;3;I;1;9;1;8337315;3837;9165030;3889;8490656;3986;9366318;4051
2019;5;8;3;I;2;1;1;;;;;;;;
2019;5;8;3;I;2;2;1;18790563;2657;20621329;2660;20675656;3102;22284012;3104
2019;5;8;3;I;2;3;1;6042805;1425;6666847;1447;6302287;1522;6897206;1540
2019;5;8;3;I;2;4;1;8576834;2971;9728228;3014;7891901;2672;8901801;2714
2019;5;8;3;I;2;5;1;34776931;13939;38614595;14155;32453928;13220;35518115;13414
2019;5;8;3;I;2;6;1;;;;;;;;
2019;5;8;3;I;2;7;1;1332022;387;1592315;388;1332022;387;1461795;388
2019;5;8;3;I;2;8;1;6064748;2149;6441378;2157;6182356;2071;6555170;2077
2019;5;8;3;I;2;9;1;14194262;5724;16284195;5849;12774427;4897;14438553;5030
2019;5;9;3;F;1;1;1;;;;;0;0;0;0
2019;5;9;3;F;1;2;1;76593022;6713;84850562;6713;78846599;6796;87058116;6796
2019;5;9;3;F;1;3;1;56449188;7902;64731972;7902;57344042;7929;66504654;7929
2019;5;9;3;F;1;4;1;26587212;4126;30290401;4141;30066075;4268;33734120;4290
2019;5;9;3;F;1;5;1;;;;;0;0;0;0
2019;5;9;3;F;1;6;1;1606875;194;1707999;194;1606875;194;1707999;194
2019;5;9;3;F;1;7;1;38338841;6687;44857127;6687;37768900;6183;44084538;6183
2019;5;9;3;F;1;8;1;4230095;854;5103475;871;7579417;1598;9060457;1598
2019;5;9;3;F;1;9;1;14586307;3325;17223993;3342;12911484;2923;15340092;2933
2019;5;9;3;F;2;1;1;12919802;194;13186015;194;12919802;194;13186961;194
2019;5;9;3;F;2;2;1;1347742384;89855;1500290666;89979;1303876864;83259;1453815527;83421
2019;5;9;3;F;2;3;1;1315781031;143135;1508365695;143171;1312514638;137707;1511692176;137748
2019;5;9;3;F;2;4;1;115310073;18164;133915394;18299;116618341;17983;137146238;18154
2019;5;9;3;F;2;5;1;;;;;;;;
2019;5;9;3;F;2;6;1;2089250;194;2197202;194;3683847;375;3898173;375
2019;5;9;3;F;2;7;1;5111273853;1284748;6378750130;1286704;4806370001;1157223;6121498325;1158741
2019;5;9;3;F;2;8;1;707853782;136273;840794816;136495;660237659;129110;800694672;129625
2019;5;9;3;F;2;9;1;98188854;22892;119855581;23004;93196047;21878;115066816;22083
2019;5;10;1;Q;1;1;1;4697830;194;4845560;194;4697830;194;4846096;194
2019;5;10;1;Q;1;2;1;5493516;388;5701642;388;5414990;388;5623616;388
2019;5;10;1;Q;1;3;1;1941929;776;2066938;782;1970606;776;2103360;782
2019;5;10;1;Q;1;4;1;3978902;1164;4289350;1181;3948183;1164;4249320;1180
2019;5;10;1;Q;1;5;1;;;;;;;;
