A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;4;4;3;P;2;9;85;73986466;19866;85472320;20823;72393059;20055;84963788;20853
2019;4;5;3;O;1;1;84;8479274;567;8811046;567;8351156;567;8668465;567
2019;4;5;3;O;1;2;84;256031761;29484;274308106;29484;267789962;30051;285543973;30051
2019;4;5;3;O;1;3;84;46468210;9261;49474571;9261;46728485;9261;50277898;9261
2019;4;5;3;O;1;4;84;32962748;7938;35161995;7938;31530178;7749;34365375;7749
2019;4;5;3;O;1;5;84;;;;;;;;
2019;4;5;3;O;1;6;84;;;;;;;;
2019;4;5;3;O;1;7;84;;;;;;;;
2019;4;5;3;O;1;8;84;2076316;756;2462785;756;2076316;756;2234805;756
2019;4;5;3;O;1;9;84;;;;;;;;
2019;4;5;3;O;2;1;84;23603657;1323;28726164;1323;23678938;1323;25259088;1323
2019;4;5;3;O;2;2;84;254430592;26460;274242738;26460;255213905;26460;355256912;26460
2019;4;5;3;O;2;3;84;18599852;3213;19996024;3213;17361404;3024;18799798;3024
2019;4;5;3;O;2;4;84;18398043;4725;20822546;4725;18640585;4914;21231050;4914
2019;4;5;3;O;2;5;84;;;;;;;;
2019;4;5;3;O;2;6;84;;;;;;;;
2019;4;5;3;O;2;7;84;;;;;;;;
2019;4;5;3;O;2;8;84;3534748;1134;4586645;1134;3534862;1134;4596654;1134
2019;4;5;3;O;2;9;84;;;;;;;;
2019;4;6;3;P;1;1;85;73162493;7276;76285146;7276;72861683;7069;77841556;7069
2019;4;6;3;P;1;2;85;320970164;44237;336522423;44237;353094300;46191;377576680;46191
2019;4;6;3;P;1;3;85;166986591;46511;175413765;46586;180619218;47640;191634837;47819
2019;4;6;3;P;1;4;85;170569157;59727;181908776;60376;171687345;56302;184301741;57220
2019;4;6;3;P;1;5;85;;;;;;;;
2019;4;6;3;P;1;6;85;;;;;;;;
2019;4;6;3;P;1;7;85;;;;;;;;
2019;4;6;3;P;1;8;85;;;;;;;;
2019;4;6;3;P;1;9;85;;;;;;;;
2019;4;6;3;P;2;1;85;79044894;7276;82715980;7276;83751265;7353;90068568;7353
2019;4;6;3;P;2;2;85;339091352;43201;354898410;43201;373615384;42840;398243722;42840
2019;4;6;3;P;2;3;85;138901000;30506;145809492;30580;148742133;31038;157551276;31246
2019;4;6;3;P;2;4;85;98599519;36135;105331084;36683;102899125;35388;110781644;36024
2019;4;6;3;P;2;5;85;;;;;;;;
2019;4;6;3;P;2;6;85;;;;;;;;
2019;4;6;3;P;2;7;85;;;;;;;;
2019;4;6;3;P;2;8;85;;;;;;;;
2019;4;6;3;P;2;9;85;;;;;;;;
2019;4;7;3;O;1;1;84;168443922;7946;178742233;7946;172632587;8136;183694205;8136
2019;4;7;3;O;1;2;84;459157493;45030;526221673;45291;453436351;44273;512501679;44705
2019;4;7;3;O;1;3;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;1;4;84;106191251;19488;151230100;19848;106786072;19298;126574752;19793
2019;4;7;3;O;1;5;84;1306360;378;1723909;398;1306360;378;1664592;396
2019;4;7;3;O;1;6;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;1;7;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;1;8;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;1;9;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;2;1;84;263890747;11730;282658143;11730;262683734;11730;285023564;11730
2019;4;7;3;O;2;2;84;396499613;35570;448092208;35657;394254781;35380;440827063;35587
2019;4;7;3;O;2;3;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;2;4;84;38179817;7568;47086371;7753;38835437;7568;47399743;7903
2019;4;7;3;O;2;5;84;11157710;3216;15510135;3547;11067423;3216;15522790;3636
2019;4;7;3;O;2;6;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;2;7;84;0;0;0;0;0;0;0;0
2019;4;7;3;O;2;8;84;6823407;2081;8617307;2126;6823407;2081;9517835;2232
2019;4;7;3;O;2;9;84;1159727;378;1510437;418;1159727;378;1480229;414
2019;4;8;3;I;1;1;55;;;;;;;;
2019;4;8;3;I;1;2;55;28424964;4813;30859250;4820;25327176;4583;28062146;4591
2019;4;8;3;I;1;3;55;5490444;968;5882837;969;6357166;1161;6799860;1162
2019;4;8;3;I;1;4;55;20174824;7522;23661990;7598;17887590;6718;20926864;6795
2019;4;8;3;I;1;5;55;57501911;23521;63653632;23946;54823899;22755;60718141;23140
2019;4;8;3;I;1;6;55;;;;;;;;
2019;4;8;3;I;1;7;55;396023;199;422891;200;383760;194;411734;196
2019;4;8;3;I;1;8;55;3638287;1593;4039636;1594;3780254;1613;4265125;1614
2019;4;8;3;I;1;9;55;7768189;3603;8650741;3662;8337315;3837;9165030;3889
2019;4;8;3;I;2;1;55;;;;;;;;
2019;4;8;3;I;2;2;55;18943995;2548;20393515;2556;18790563;2657;20621329;2660
2019;4;8;3;I;2;3;55;4795896;1251;5309040;1275;6042805;1425;6666847;1447
2019;4;8;3;I;2;4;55;7924281;2852;9106319;2913;8576834;2971;9728228;3014
2019;4;8;3;I;2;5;55;33479072;13349;36648711;13551;34776931;13939;38614595;14155
2019;4;8;3;I;2;6;55;;;;;;;;
2019;4;8;3;I;2;7;55;1312328;381;1453111;385;1332022;387;1592315;388
2019;4;8;3;I;2;8;55;4026574;1651;4275995;1656;6064748;2149;6441378;2157
2019;4;8;3;I;2;9;55;14612972;5766;16619535;5930;14194262;5724;16284195;5849
2019;4;9;3;F;1;1;41;0;0;0;0;;;;
2019;4;9;3;F;1;2;41;81674413;7120;90080164;7120;76593022;6713;84850562;6713
2019;4;9;3;F;1;3;41;59495231;8911;67439155;8911;56449188;7902;64731972;7902
