Tamano;Seccion;Sexo;Grupo;IR_Wi;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;ICMO_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;IPC_Wi;EST_ROHO_Wtam;EST_ROHO_Wcat;EST_ROHO_Wsex;EST_ROHO_Wgru;EST_ROHO_Wi;EST_CHT_Wtam;EST_CHT_Wcat;EST_CHT_Wsex;EST_CHT_Wgru;EST_CHT_Wi;EST_NT_Wtam;EST_NT_Wcat;EST_NT_Wsex;EST_NT_Wgru;EST_NT_Wi;EST_RORE_Wtam;EST_RORE_Wcat;EST_RORE_Wsex;EST_RORE_Wgru;EST_RORE_Wi
3;K;2;5;0,050118906;0,077291059;0,580726656;0,072683992;1,979248381;0,062530797;0,095662009;0,750272783;0,090278793;2,274818209;1;0,443899387;7,870000841;0,385374094;2,187990009;0,206672002;0,401670179;7,022622242;0,347591994;1,982719553;0,185678675;0,10262332;1,542170421;0,103711653;1,085472454;0,065082947;0,437370388;7,736078878;0,379905001;2,168359562;0,203563424
3;L;2;5;0,003904965;0,006022057;0,42446056;0,005663102;0,154211189;0,004366615;0,006680215;0,492200078;0,006304297;0,158853808;0,28146;0,467393828;4,458163404;0,405770944;2,303794638;0,217610615;0,459172047;4,276606725;0,397352194;2,266559586;0,212259863;0,008259547;0,79243294;0,00834714;0,087363289;0,005238143;0,470522624;4,477040381;0,408701419;2,33271904;0,218993328
3;M;1;5;0,002943523;0,004539365;0,046786354;0,009481328;0,116242813;0,002990173;0,004574481;0,048740571;0,009728601;0,108779991;0,24792;0,763738919;6,139396143;0,766822602;3,76448622;0,355583847;0,790620277;6,268120756;0,78459869;3,902650391;0,365477283;0,01279106;0,186895539;0,021779358;0,135294231;0,008111995;0,762365649;6,116009291;0,764423418;3,779594806;0,354824576
3;M;2;5;0,008929219;0,013770228;0,141927083;0,01294943;0,352624259;0,009249517;0,014150265;0,150769454;0,013353983;0,336489693;0,75208;0,760717737;6,115110052;0,660421972;3,749594747;0,354177236;0,780314382;6,186414537;0,675258074;3,851778555;0,360713213;0,034155648;0,499062489;0,034517872;0,361272804;0,021661258;0,758650231;6,08620268;0,658972407;3,761174802;0,353095324
3;N;1;5;0,113479342;0,175002594;1,638070674;0,365526263;4,481418755;0,121893173;0,186476847;1,700576975;0,39658246;4,434371916;0,11247;0,792812189;4,332441489;0,796013259;3,90778902;0,369119867;0,780455087;4,291839247;0,774510921;3,852473099;0,360778256;0,441172394;2,357505922;0,751184945;4,666390449;0,279788254;0,788368796;4,30834385;0,790496751;3,908511104;0,366927109
3;N;2;5;0,639976096;0,986941546;9,238034503;0,928113186;25,27333023;0,760481809;1,163414213;10,60976446;1,097945062;27,66569362;0,63426;0,806051681;4,404790683;0,699778926;3,973046771;0,375283949;0,753233596;4,142144201;0,651823264;3,718102702;0,348194672;2,481934955;13,26278896;2,508256174;26,25204508;1,574024705;0,788180367;4,307314107;0,684622626;3,907576925;0,366839409
3;O;2;5;0,008102902;0,012495922;0,130056824;0,01175108;0,319992154;0,010100091;0,015451507;0,167856266;0,014582;0,367432898;;0,534428604;6,230643797;0,463967614;2,634210549;0,248820866;0,54136067;5,828531496;0,468475491;2,672258086;0,250252912;0,01945484;0,255871991;0,019661161;0,2057787;0,012338115;0,509228055;5,891605077;0,442321407;2,524609699;0,237007831
3;P;1;5;0,0542141;0,083606478;0,616403;0,17462806;2,140971919;0,052655314;0,080554118;0,631863016;0,171315371;1,915556396;0,43516;0,670244525;6,500250336;0,672950714;3,303650263;0,312054448;0,700453878;6,621382702;0,695119023;3,457572084;0,323796375;0,180883542;1,386179932;0,307990698;1,913250341;0,114714998;0,668595157;6,511275201;0,670399821;3,314707035;0,311181377
3;P;2;5;0,07037055;0,108522208;0,800098462;0,102053554;2,779007145;0,075580104;0,115625339;0,906960164;0,109118721;2,749541119;0,56484;0,701896459;6,807221124;0,609355903;3,45966335;0,32679105;0,699544218;6,612783704;0,605362265;3,453081835;0,32337587;0,229502806;1,75876799;0,231936711;2,42750842;0,145548974;0,690930427;6,728792617;0,600150198;3,425439032;0,321576786
3;Q;1;5;0,056676501;0,087403879;1,30773106;0,182559656;2,238214728;0,061638634;0,094297144;1,420218155;0,200542824;2,24236207;0,48871;0,837052302;6,409926521;0,840431997;4,125849526;0,389717311;0,813451044;6,149308553;0,807255571;4,015347349;0,376031182;0,227570307;3,549425671;0,387484328;2,407067898;0,144323398;0,827298047;6,36116875;0,82953108;4,101511401;0,385045783
