EMPRESA_GENERICA;TAMANO_EMPRESA;CATEGORIA;ID_DIVISION;TT;SEXO;GRUPO;RO (ENE);RO (FEB);RO (MAR);RO (ABR);RO (MAY);RO (JUN);HO (ENE);HO (FEB);HO (MAR);HO (ABR);HO (MAY);HO (JUN);RE (ENE);RE (FEB);RE (MAR);RE (ABR);RE (MAY);RE (JUN);HE (ENE);HE (FEB);HE (MAR);HE (ABR);HE (MAY);HE (JUN);C (ENE);C (FEB);C (MAR);C (ABR);C (MAY);C (JUN);NT (ENE);NT (FEB);NT (MAR);NT (ABR);NT (MAY);NT (JUN)
1486;3;D;1;33;1;4;681809;681809;681809;681809;681809;681809;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;762751;762751;762751;762751;762751;762751;1;1;1;1;1;1
1486;3;D;1;33;1;9;463641;463641;701720;467232;467232;467232;194;194;194;194;194;194;78213;0;41900;0;0;0;26;0;15;0;0;0;619788;534198;827504;538132;537961;537961;1;1;1;1;1;1
1486;3;D;1;33;2;1;6361985;6361985;6705876;6361985;6361985;6361985;581;581;581;581;581;581;0;0;0;0;0;0;0;0;0;0;0;0;6737366;6737630;7088303;6738236;6738484;6738546;3;3;3;3;3;3
1486;3;D;1;33;2;2;8979099;8979099;9455256;9240856;9240856;9240856;1161;1161;1161;1161;1161;1161;0;0;0;0;0;0;0;0;0;0;0;0;10340203;10336243;10834630;10606272;10346272;10346272;6;6;6;6;6;6
1486;3;D;1;33;2;3;12404029;12404029;12959547;12404029;12404029;12215797;2129;2129;2129;2129;2129;2057;0;0;0;0;0;0;0;0;0;0;0;0;16157320;15780590;16267471;15795590;15795590;15426156;11;11;11;11;11;11
1486;3;D;1;33;2;4;3633025;3633025;4320807;4003369;3633025;3633025;774;774;774;774;774;774;0;0;0;0;0;0;0;0;0;0;0;0;3970934;3970934;4683835;4355521;3970934;3970934;4;4;4;4;4;4
1486;3;D;1;33;2;5;11787907;11030473;12480790;11227825;11162171;11236921;3869;3644;3677;3631;3677;3677;2748410;2547905;3419626;3127387;3697008;3597925;922;867;1189;1031;1203;1255;18693305;17548971;20005384;18364685;18931746;18902665;24;19;19;19;19;19
1486;3;D;1;33;2;7;16924509;16658422;16929356;16208604;14740780;13939319;7365;7262;7275;6960;6262;5843;2169349;3338818;2427540;3382769;3250358;2384633;909;1376;945;1210;1121;863;29183391;29706332;29696463;29891676;27271576;24891116;42;38;38;36;34;32
1486;3;D;1;33;2;8;8472670;9395871;10150377;9937552;9684284;9955916;2129;2322;2373;2477;2432;2516;647290;947643;973734;1269217;780827;365404;181;225;247;309;202;103;10122317;11418666;12247997;12374391;11592493;11443737;11;12;13;13;13;13
1487;2;J;1;12;1;2;1746209;1746209;1793357;1793357;1793357;1767426;194;194;194;194;194;185;0;0;0;0;0;0;0;0;0;0;0;0;1853113;1839806;1908310;1903611;1903735;1882351;1;1;1;1;1;1
1487;2;J;1;12;1;4;261466;261466;261466;264000;264000;264000;194;194;194;194;194;194;0;0;0;0;0;0;0;0;0;0;0;0;331467;305081;335871;302990;308919;307130;1;1;1;1;1;1
1487;2;J;1;12;2;4;1417607;1417607;1417607;1424107;1266500;1250767;387;387;387;387;370;383;0;0;0;0;0;0;0;0;0;0;0;0;1466080;1453391;1451821;1453994;1320736;1296932;2;2;2;2;2;2
1487;2;J;1;12;2;9;398598,0093;395573,0134;395573,0134;395573,0134;395573,0134;395573,0134;150,1578919;150,1578919;150,1578919;150,1578919;150,1578919;150,1578919;0;0;0;0;0;0;0;0;0;0;0;0;477243,3759;474134,8017;474134,8017;489961,5213;478607,5703;478607,5703;1,028571429;1,028571429;1,028571429;1,028571429;1,028571429;1,028571429
1488;3;I;2;23;1;2;4631097;5350427;5013597;5065022;5071592;5007774;581;581;581;581;581;581;0;0;0;0;0;0;0;0;0;0;0;0;4898774;5647516;5302173;5442347;5363763;5296705;3;3;3;3;3;3
1488;3;I;2;23;1;3;7291578;3925522;3588549;4169087;4219641;4322912;1961;968;968;961;955;1051;699435;591859;165212;200331;241526;265014;188;147;41;48;61;67;8468673;4778485;3970729;4621970;4719023;4855411;17;5;5;5;5;6
1488;3;I;2;23;1;7;49475922;17506497;15292694;18402806;19638018;19617468;14416;5302;5321;5332;5366;5379;2588422;897852;100081;204711;332180;431419;1239;435;47;96;156;207;55433527;19566206;16411545;19811550;21269332;21340641;191;38;32;34;35;55
1488;3;I;2;23;2;1;15348365;15348365;15348365;15348365;15348365;15348365;581;581;581;581;581;581;0;0;0;0;0;0;0;0;0;0;0;0;15717661;15718697;15719818;15721075;15722052;15722530;3;3;3;3;3;3
1488;3;I;2;23;2;2;23552828;21717008;23267046;23507390;22955120;22254839;2593;2322;2516;2516;2516;2406;148769;123342;123342;123342;123342;123342;22;10;10;10;10;10;24859557;22884705;24728541;25076234;24405311;23679654;14;12;13;13;13;14
1488;3;I;2;23;2;3;40190555;31913965;29565998;29396021;29808652;27721682;8127;6560;6128;5850;5882;5715;7425185;5853822;4818273;4587514;4562588;4299534;1426;1148;967;932;962;916;50483108;40090605;36491569;36058719;36439960;33953664;74;43;41;36;36;41
1488;3;I;2;23;2;4;1466254;788344;669461;874377;847552;825873;387;194;194;194;194;194;261490;60286;11961;23381;47604;62510;76;16;3;6;13;17;1827608;897681;720808;949648;946897;939731;2;1;1;1;1;1
1488;3;I;2;23;2;7;59402341;22834538;17256522;25718814;28426369;29702819;16796;6450;5491;6798;7174;7798;2941739;1530849;444198;717162;1011995;1509834;1416;721;201;331;471;711;66307420;25885592;18800202;28086544;31280693;33155546;236;45;31;40;55;66
1488;3;I;2;23;2;8;34703579;32159713;30305429;32853528;32521994;33453211;5489;4831;4831;4831;4838;5360;3550220;4222137;4152548;4264575;4658067;5010444;665;664;615;639;743;830;40771947;38807243;36812435;39625902;39716214;41110610;53;26;25;25;25;40
1489;3;G;3;33;1;1;74325032;75758820;75777581;76286836;71506084;71415578;10055;10255;10255;10191;9681;9423;0;0;0;0;0;0;0;0;0;0;0;0;80725868;82626448;82522526;83055305;78163044;77673735;56;55;55;55;52;52
1489;3;G;3;33;1;2;418037936;420499367;418125938;429265022;428724678;428859206;139253;138695;138510;138142;139403;139026;14214865;8670696;9617578;7854555;12092932;6344058;3553;2829;3149;2490;2741;2012;486532842;486882490;481843990;492980499;499528209;490562651;781;785;784;787;791;792
1489;3;G;3;33;1;3;289686032;284810523;275500975;282338279;283756616;286925385;94297;93112;90543;91294;92708;92919;9145425;5282038;5842197;4236603;7708978;3436798;2191;1791;1995;1414;1468;1132;343983043;336671747;325230381;331493187;339012212;335255785;528;522;519;525;523;519
1489;3;G;3;33;1;4;3517022053;3448175668;3437796236;3516164626;3473499372;3406389217;1731224;1712613;1695173;1695718;1697215;1671812;158154465;98629108;128919086;80246317;155091804;62032631;47792;44095;57421;35195;39833;26795;4384912165;4208970606;4216621948;4268568059;4306011589;4123653510;12674;12636;12521;12501;12499;12323
1489;3;G;3;33;1;5;103607848;103328230;103619596;104559324;101240185;100635683;46317;46058;46541;44900;44645;44595;7298167;3562592;4409713;3146377;6269757;2600885;1832;1431;1719;1246;1289;980;122798146;118518831;119757928;119025840;119070586;114406594;270;270;269;261;261;260
1489;3;G;3;33;1;9;58038048;56306034;57074613;56153148;57543428;57396920;29520;29304;28922;28965;29623;29603;3998315;2015271;2363278;1643353;3586646;1705476;1310;920;1082;745;1056;768;67990275;64172069;65273379;63704567;67331147;65233166;188;193;191;197;196;197
1489;3;G;3;33;2;1;527611279;531334421;515223661;523915383;529189727;542633167;47407;47407;46053;46853;47840;48685;0;0;0;0;0;0;0;0;0;0;0;0;556535939;561213366;543838296;553564555;559941461;572817883;248;249;242;246;250;253
1489;3;G;3;33;2;2;468102709;468073337;464002929;475372097;471019366;473588833;152786;151738;150060;151675;150080;150340;15496146;8408412;9957958;7391096;13514068;7066023;3583;2675;3175;2312;2771;2163;536639860;532829442;525970880;536807309;542094306;533749417;816;814;803;810;802;803
1489;3;G;3;33;2;3;305323030;303201171;303871125;303474758;299111933;294679415;97156;96804;97031;97097;96290;94478;7306691;3882390;4638218;3593554;6992945;3253634;1778;1578;1903;1363;1420;1233;345073683;340976700;341307583;340385048;339863095;329766084;527;526;524;527;520;508
1489;3;G;3;33;2;4;1204366209;1178256928;1150162953;1147815627;1165689612;1143758106;613184;604772;584696;580841;586990;576689;64541178;35376563;44571631;27715483;58383344;24307363;19107;15782;19807;11802;13731;9956;1436431237;1371449745;1352492018;1334494741;1387727239;1325652867;4320;4296;4151;4166;4158;4033
1489;3;G;3;33;2;5;106576113;105653269;108477619;111753542;108971350;109213662;44326;44171;45342;46083;45048;45305;7221406;2357088;3286207;2328168;7018141;1709833;1191;843;1185;822;838;588;127169713;121103671;125093297;127948727;129607519;124150072;257;253;256;261;254;255
1489;3;G;3;33;2;8;17638762;17405091;17119705;17359694;17066646;16725824;8132;7831;7959;7850;7586;7450;431515;299178;335720;192633;271697;201809;149;118;117;75;83;76;23482280;20599822;18977643;22396473;22147203;21187647;44;42;42;41;42;42
1489;3;G;3;33;2;9;23221392;21334789;21338830;20390976;21336003;20472490;10339;10082;9845;9477;9559;9354;961582;597043;685075;629241;1330538;524212;397;282;315;290;568;231;27347443;24880766;24994327;23852630;25583936;23832089;59;56;56;53;53;53
1490;1;D;7;11;1;2;1480000;1480000;1480000;1480000;1480000;1480000;388;388;388;388;388;388;0;0;0;0;0;0;0;0;0;0;0;0;1571350;1571328;1571328;1572203;1571328;1571328;2;2;2;2;2;2
1490;1;D;7;11;1;4;4251353;4224599;4047755;3944267;4129965;4153406;1492;1492;1492;1440;1492;1492;48111;0;0;120768;0;0;14;0;0;37;0;0;4610422;4501939;4322030;4326683;4390501;4411784;9;9;9;9;9;9
