ano;mes;id;tamano;categoria;sexo;grupo;div;ro_t_1;ho_t_1;c_t_1;ht_t_1;ro;ho;c;ht
2023;8;1762;3;P;1;9;1;201133455;59113;216315954;59868;209160335;61571;225049319;62411
2023;8;1762;3;P;2;1;1;303922562;11529;315600022;11530;310683808;11730;324838414;11730
2023;8;1762;3;P;2;2;1;2558838194;154860;2639074740;154962;2546382953;155239;2642559405;155461
2023;8;1762;3;P;2;3;1;131260992;27881;141811615;28166;132488742;28448;144675880;28816
2023;8;1762;3;P;2;4;1;113243586;21972;121659030;22035;114533051;22161;123620938;22266
2023;8;1762;3;P;2;5;1;;;;;;;;
2023;8;1762;3;P;2;6;1;;;;;;;;
2023;8;1762;3;P;2;7;1;;;;;;;;
2023;8;1762;3;P;2;8;1;;;;;;;;
2023;8;1762;3;P;2;9;1;177427537;49049;195248464;50483;184713619;51033;201750850;52258
2023;8;1118;3;P;1;1;1;781151994;37139;828350380;37142;772214619;36383;818768471;36383
2023;8;1118;3;P;1;2;1;5254117095;468993;5636014095;469233;5268614777;464352;5655766592;464607
2023;8;1118;3;P;1;3;1;566709806;95177;661382543;95302;577265422;96577;673610391;96678
2023;8;1118;3;P;1;4;1;932913896;160104;1088607431;160292;943532968;161273;1105460312;161561
2023;8;1118;3;P;1;5;1;42876317;13230;54449093;13241;41966778;13419;53092771;13427
2023;8;1118;3;P;1;6;1;;;;;;;;
2023;8;1118;3;P;1;7;1;23884651;6426;29675595;6426;23845353;6237;30186349;6237
2023;8;1118;3;P;1;8;1;;;;;;;;
2023;8;1118;3;P;1;9;1;206974510;92610;284360380;92613;212750021;93744;292458701;93754
2023;8;1118;3;P;2;1;1;699640949;27578;733843090;27578;696986994;27599;730741627;27599
2023;8;1118;3;P;2;2;1;6506194504;461247;6864142740;461612;6562316505;455128;6921165362;455301
2023;8;1118;3;P;2;3;1;501386726;78111;589142177;79153;507752252;78566;599139361;79748
2023;8;1118;3;P;2;4;1;205626962;41045;246258837;41290;213922167;41865;257434553;42291
2023;8;1118;3;P;2;5;1;1819546;378;2058729;378;1819546;378;2057247;378
2023;8;1118;3;P;2;6;1;;;;;;;;
2023;8;1118;3;P;2;7;1;27473546;6237;34350499;6397;26866154;6048;33468211;6183
2023;8;1118;3;P;2;8;1;11965547;2457;15588934;2602;11967265;2457;15672498;2609
2023;8;1118;3;P;2;9;1;85592692;29295;113340401;29507;85683836;29484;113937540;29772
2023;8;1310;1;N;1;1;6;;;;;;;;
2023;8;1310;1;N;1;2;6;1865146;194;1977055;194;1865146;194;1973511;194
2023;8;1310;1;N;1;3;6;;;;;;;;
2023;8;1310;1;N;1;4;6;2367128;388;2577356;388;2037822;297;2522420;297
2023;8;1310;1;N;1;5;6;;;;;;;;
2023;8;1310;1;N;1;6;6;;;;;;;;
2023;8;1310;1;N;1;7;6;4841312;1371;5109905;1371;5155000;1533;5442305;1533
2023;8;1310;1;N;1;8;6;;;;;;;;
2023;8;1310;1;N;1;9;6;;;;;;;;
2023;8;1310;1;N;2;1;6;2535625;194;3174965;194;2535625;194;3170368;194
2023;8;1310;1;N;2;2;6;;;;;;;;
2023;8;1310;1;N;2;3;6;;;;;;;;
2023;8;1310;1;N;2;4;6;4042292;582;4770234;582;3959792;582;4546658;582
2023;8;1310;1;N;2;5;6;;;;;;;;
2023;8;1310;1;N;2;6;6;;;;;;;;
2023;8;1310;1;N;2;7;6;5906126;1552;6280596;1563;5718210;1461;6163063;1461
2023;8;1310;1;N;2;8;6;;;;;;;;
2023;8;1310;1;N;2;9;6;;;;;;;;
2023;8;1544;3;C;1;1;10;55355484;1535;57648564;1535;55425394;1542;57763196;1542
2023;8;1544;3;C;1;2;10;186257443;11252;200896351;11256;185590011;11135;200312303;11135
2023;8;1544;3;C;1;3;10;33697119;2218;37119122;2252;36671676;2295;39949502;2315
2023;8;1544;3;C;1;4;10;1612116;194;1803565;194;2465388;323;2734275;323
2023;8;1544;3;C;1;5;10;;;;;;;;
2023;8;1544;3;C;1;6;10;;;;;;;;
2023;8;1544;3;C;1;7;10;;;;;;;;
2023;8;1544;3;C;1;8;10;;;;;;;;
2023;8;1544;3;C;1;9;10;;;;;;;;
2023;8;1544;3;C;2;1;10;140752213;2716;147190591;2716;150201595;2910;158122355;2910
2023;8;1544;3;C;2;2;10;219173205;11102;233591681;11104;222420773;11304;237020497;11304
2023;8;1544;3;C;2;3;10;43512221;3058;47261451;3078;43883009;3104;47696397;3132
2023;8;1544;3;C;2;4;10;6552194;388;6999699;388;6336746;388;6780848;388
2023;8;1544;3;C;2;5;10;;;;;;;;
2023;8;1544;3;C;2;6;10;;;;;;;;
2023;8;1544;3;C;2;7;10;33412703;3492;40434531;3704;35668412;3686;44329370;3952
2023;8;1544;3;C;2;8;10;21508467;3071;24516246;3121;22097286;3045;25650851;3133
2023;8;1544;3;C;2;9;10;26835495;4268;33174437;4475;25612982;4067;31771502;4271
2023;8;14;3;C;1;1;7;8027696;387;8628387;387;8035811;390;8623142;390
2023;8;14;3;C;1;2;7;4769988;387;5326784;394;4775026;385;5420767;392
2023;8;14;3;C;1;3;7;15662548;3483;18766497;3517;15721261;3502;18405294;3502
2023;8;14;3;C;1;4;7;;;;;;;;
2023;8;14;3;C;1;5;7;;;;;;;;
2023;8;14;3;C;1;6;7;16249315;581;17269905;581;16391794;581;17212271;581
2023;8;14;3;C;1;7;7;4396823;1355;5614262;1398;4772376;1603;6023178;1646
2023;8;14;3;C;1;8;7;;;;;;;;
2023;8;14;3;C;1;9;7;;;;;;;;
2023;8;14;3;C;2;1;7;33389969;774;35359620;774;32511211;752;34412976;752
2023;8;14;3;C;2;2;7;30270242;1935;33274128;1970;30247725;1919;33096064;1951
2023;8;14;3;C;2;3;7;36254032;4064;42342579;4202;36095981;3977;40890114;4046
2023;8;14;3;C;2;4;7;;;;;;;;
2023;8;14;3;C;2;5;7;;;;;;;;
2023;8;14;3;C;2;6;7;17140517;581;18245764;581;16887459;581;17723124;581
2023;8;14;3;C;2;7;7;130838529;28445;160845884;29426;131569552;28442;161992350;29708
2023;8;14;3;C;2;8;7;;;;;;;;
2023;8;14;3;C;2;9;7;;;;;;;;
2023;8;338;3;C;1;1;2;;;;;;;;
2023;8;338;3;C;1;2;2;18466391;1464;19717408;1464;18651791;1529;20077142;1529
2023;8;338;3;C;1;3;2;4671075;1071;5193682;1090;3845729;877;4264299;880
2023;8;338;3;C;1;4;2;3410447;748;3724607;754;2325580;574;2589030;574
2023;8;338;3;C;1;5;2;;;;;;;;
2023;8;338;3;C;1;6;2;;;;;;;;
2023;8;338;3;C;1;7;2;;;;;;;;
2023;8;338;3;C;1;8;2;;;;;;;;
2023;8;338;3;C;1;9;2;16695965;4667;21610127;4732;13337477;3841;15771858;3958
