A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;8;4;3;P;2;9;1;70807048;19866;82591539;20868;71204830;19866;82710587;20888
2019;8;5;3;O;1;1;1;8351156;567;8669923;567;8351156;567;9511730;567
2019;8;5;3;O;1;2;1;264077016;30429;282999436;30429;268457332;30429;287518485;30429
2019;8;5;3;O;1;3;1;44312867;9072;47731230;9072;48734835;9261;53135480;9261
2019;8;5;3;O;1;4;1;30478740;7749;32370746;7749;32226174;7749;34802105;7749
2019;8;5;3;O;1;5;1;;;;;;;;
2019;8;5;3;O;1;6;1;;;;;;;;
2019;8;5;3;O;1;7;1;;;;;;;;
2019;8;5;3;O;1;8;1;2091538;756;2344283;756;2076316;756;2310348;756
2019;8;5;3;O;1;9;1;;;;;;;;
2019;8;5;3;O;2;1;1;30074754;1512;31143084;1512;32863213;1701;34228546;1701
2019;8;5;3;O;2;2;1;263714700;27594;282027685;27594;266055278;27783;287929797;27783
2019;8;5;3;O;2;3;1;15622233;2835;16578491;2835;15577227;2835;16991499;2835
2019;8;5;3;O;2;4;1;18433644;4725;20919253;4725;18433644;4725;21171360;4725
2019;8;5;3;O;2;5;1;;;;;;;;
2019;8;5;3;O;2;6;1;;;;;;;;
2019;8;5;3;O;2;7;1;;;;;;;;
2019;8;5;3;O;2;8;1;3534862;1134;4501802;1134;3534748;1134;4774312;1134
2019;8;5;3;O;2;9;1;;;;;;;;
2019;8;6;3;P;1;1;1;68337766;6856;71330746;6856;67799884;6889;70778715;6889
2019;8;6;3;P;1;2;1;345285032;45230;362004685;45230;337151508;42998;353475423;42998
2019;8;6;3;P;1;3;1;172841123;46511;182042460;46667;172129217;44415;181145941;44555
2019;8;6;3;P;1;4;1;157739328;53279;168384237;53902;170009443;53872;181399312;54516
2019;8;6;3;P;1;5;1;;;;;;;;
2019;8;6;3;P;1;6;1;;;;;;;;
2019;8;6;3;P;1;7;1;;;;;;;;
2019;8;6;3;P;1;8;1;;;;;;;;
2019;8;6;3;P;1;9;1;;;;;;;;
2019;8;6;3;P;2;1;1;75677366;6508;79142183;6508;72324174;6579;75548223;6579
2019;8;6;3;P;2;2;1;340280004;42175;356321441;42175;344479188;42130;360333105;42130
2019;8;6;3;P;2;3;1;144892812;31693;152441846;31891;142407199;30813;149559893;30924
2019;8;6;3;P;2;4;1;93419723;32104;99661222;32479;92061051;31588;98026656;31917
2019;8;6;3;P;2;5;1;;;;;;;;
