Tamaño;Categoría;Sexo;Grupo;IR_Wtam;IR_Wcat;IR_Wsex;IR_Wgru;IR_Wi;ICMO_Wtam;ICMO_Wcat;ICMO_Wsex;ICMO_Wgru;ICMO_Wi
3;R;1;1;0,006940797;0,744537143;0,014497177;0,031689281;0,004500716;0,006421831;0,697719821;0,013657382;0,031778035;0,004197719
3;R;1;2;0,039292349;4,214878275;0,082069558;0,077741723;0,025478879;0,036920649;4,011358781;0,078519569;0,076716718;0,024133693
3;R;1;3;0,016146421;1,732021619;0,033724876;0,069279817;0,010470046;0,016213305;1,76154496;0,034481022;0,069340828;0,010598051
3;R;1;4;0,034791622;3,732086663;0,072668932;0,212410705;0,022560411;0,03617863;3,930739903;0,07694151;0,216319691;0,023648663
3;R;1;5;0,013027541;1,397460357;0,027210502;0,333605726;0,008447628;0,014299009;1,553560381;0,030409868;0,3400268;0,009346745
3;R;1;6;0,009433732;1,011953551;0,019704147;0,196165445;0,006117245;0,009790804;1,063752414;0,020822216;0,19942684;0,006399895
3;R;1;7;0,003672721;0,393971678;0,007671178;0,028428603;0,002381553;0,003816479;0,414653248;0,00811655;0,028204829;0,002494694
3;R;1;9;0,013614078;1,460377973;0,028435596;0,146327805;0,008827964;0,014001892;1,521279099;0,029777984;0,141631618;0,00915253
3;R;2;1;0,032081957;3,441421703;0,030169656;0,146475137;0,020803345;0,0294743;3,202327019;0,027815684;0,145851753;0,019266284
3;R;2;2;0,05417253;5,81107074;0,050943483;0,107182846;0,03512784;0,051784471;5,62628505;0,048870388;0,107601974;0,033849637
3;R;2;3;0,042997478;4,612326262;0,040434539;0,18449026;0,027881446;0,043408563;4,716258409;0,04096582;0,185649115;0,028374608
3;R;2;4;0,037211264;3,991640887;0,034993222;0,227183164;0,024129412;0,038010681;4,129788713;0,035871694;0,227273908;0,024846208
3;R;2;5;0,028098965;3,014167333;0,026424077;0,719550631;0,018220599;0,02888101;3,137867248;0,027255781;0,686783065;0,018878472
3;R;2;6;0,005857484;0,628330477;0,005508338;0,121800776;0,003798249;0,006235665;0,677493223;0,005884763;0,127012951;0,004076029
3;R;2;7;0,011432995;1,226413884;0,010751512;0,088496802;0,007413654;0,011586624;1,258864875;0,010934607;0,085628339;0,007573757
3;R;2;8;0,003364376;0,360895624;0,003163837;0,030179264;0,002181609;0,00357723;0,388659278;0,003375927;0,029783776;0,002338306
3;R;2;9;0,022291608;2,391213933;0,020962878;0,239596251;0,014454854;0,023015564;2,500597635;0,021720403;0,232806517;0,015044442
