Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;3;4;3;P;2;9;1;69606322;20055;74924745;20055;73986466;19866;85472320;20823
2019;3;5;3;O;1;1;1;4983189;396;6203406;396;8479274;567;8811046;567
2019;3;5;3;O;1;2;1;252283993;29295;266972576;29295;256031761;29484;274308106;29484
2019;3;5;3;O;1;3;1;48192596;9261;51375736;9261;46468210;9261;49474571;9261
2019;3;5;3;O;1;4;1;30837133;7938;33151054;7938;32962748;7938;35161995;7938
2019;3;5;3;O;1;5;1;;;;;;;;
2019;3;5;3;O;1;6;1;;;;;;;;
2019;3;5;3;O;1;7;1;;;;;;;;
2019;3;5;3;O;1;8;1;2076316;756;2261393;756;2076316;756;2462785;756
2019;3;5;3;O;1;9;1;;;;;;;;
2019;3;5;3;O;2;1;1;13677809;756;15294019;756;23603657;1323;28726164;1323
2019;3;5;3;O;2;2;1;252245660;26082;269035016;26082;254430592;26460;274242738;26460
2019;3;5;3;O;2;3;1;18599852;3213;19595092;3213;18599852;3213;19996024;3213
2019;3;5;3;O;2;4;1;18623043;4725;20136993;4725;18398043;4725;20822546;4725
2019;3;5;3;O;2;5;1;;;;;;;;
2019;3;5;3;O;2;6;1;;;;;;;;
2019;3;5;3;O;2;7;1;;;;;;;;
2019;3;5;3;O;2;8;1;2999762;945;3756585;945;3534748;1134;4586645;1134
2019;3;5;3;O;2;9;1;;;;;;;;
2019;3;6;3;P;1;1;1;63339082;6192;65903109;6192;73162493;7276;76285146;7276
2019;3;6;3;P;1;2;1;306779417;43689;321819075;43689;320970164;44237;336522423;44237
2019;3;6;3;P;1;3;1;174924140;45297;183743869;45320;166986591;46511;175413765;46586
2019;3;6;3;P;1;4;1;158547807;58656;167917491;59163;141307839;53522;150172005;54171
2019;3;6;3;P;1;5;1;;;;;;;;
2019;3;6;3;P;1;6;1;21634165;4238;22903878;4238;29261318;6205;31736771;6205
2019;3;6;3;P;1;7;1;;;;;;;;
2019;3;6;3;P;1;8;1;;;;;;;;
2019;3;6;3;P;1;9;1;;;;;;;;
2019;3;6;3;P;2;1;1;66461685;6386;69597363;6386;79044894;7276;82715980;7276
2019;3;6;3;P;2;2;1;333520199;44017;349220131;44017;339091352;43201;354898410;43201
2019;3;6;3;P;2;3;1;136351068;30232;143304141;30323;138901000;30506;145809492;30580
2019;3;6;3;P;2;4;1;91447646;34103;97005567;34494;75650901;31336;80919318;31883
2019;3;6;3;P;2;5;1;;;;;;;;
2019;3;6;3;P;2;6;1;21205437;3096;22124710;3096;22948618;4799;24411766;4800
2019;3;6;3;P;2;7;1;;;;;;;;
2019;3;6;3;P;2;8;1;;;;;;;;
2019;3;6;3;P;2;9;1;;;;;;;;
2019;3;7;3;O;1;1;1;173059290;8136;181898109;8136;168443922;7946;178742233;7946
2019;3;7;3;O;1;2;1;451555722;44651;504828795;44948;459157493;45030;526221673;45291
2019;3;7;3;O;1;3;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;1;4;1;103045222;19488;121163426;19951;106191251;19488;151230100;19848
2019;3;7;3;O;1;5;1;1306360;378;1692078;407;1306360;378;1723909;398
2019;3;7;3;O;1;6;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;1;7;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;1;8;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;1;9;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;2;1;1;251394706;11352;265770582;11352;263890747;11730;282658143;11730
2019;3;7;3;O;2;2;1;400065538;35948;445987023;36205;396499613;35570;448092208;35657
2019;3;7;3;O;2;3;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;2;4;1;39010309;7379;46986528;7703;38179817;7568;47086371;7753
2019;3;7;3;O;2;5;1;11133738;3216;14971822;3588;11157710;3216;15510135;3547
2019;3;7;3;O;2;6;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;2;7;1;0;0;0;0;0;0;0;0
2019;3;7;3;O;2;8;1;6823407;2081;8662925;2210;6823407;2081;8617307;2126
