Año;Mes;ID_Empresa;Tamaño;Categoría;Sexo;Grupo;División;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;7;4;3;P;2;9;1;71330217;19866;82337760;20902;70807048;19866;82591539;20868
2019;7;5;3;O;1;1;1;8752853;567;9461206;567;8351156;567;8669923;567
2019;7;5;3;O;1;2;1;266428460;30240;290369759;30240;264077016;30429;282999436;30429
2019;7;5;3;O;1;3;1;46410080;9261;50374510;9261;44312867;9072;47731230;9072
2019;7;5;3;O;1;4;1;31510973;7749;34355409;7749;30478740;7749;32370746;7749
2019;7;5;3;O;1;5;1;;;;;;;;
2019;7;5;3;O;1;6;1;;;;;;;;
2019;7;5;3;O;1;7;1;;;;;;;;
2019;7;5;3;O;1;8;1;2091538;756;2269974;756;2091538;756;2344283;756
2019;7;5;3;O;1;9;1;;;;;;;;
2019;7;5;3;O;2;1;1;26711464;1323;29764065;1323;30074754;1512;31143084;1512
2019;7;5;3;O;2;2;1;266209050;27594;292519102;27594;263714700;27594;282027685;27594
2019;7;5;3;O;2;3;1;15634234;2835;17710475;2835;15622233;2835;16578491;2835
2019;7;5;3;O;2;4;1;18481104;4725;21559652;4725;18433644;4725;20919253;4725
2019;7;5;3;O;2;5;1;;;;;;;;
2019;7;5;3;O;2;6;1;;;;;;;;
2019;7;5;3;O;2;7;1;;;;;;;;
2019;7;5;3;O;2;8;1;3546861;1134;4416229;1134;3534862;1134;4501802;1134
2019;7;5;3;O;2;9;1;;;;;;;;
2019;7;6;3;P;1;1;1;74501839;7250;77623135;7250;68337766;6856;71330746;6856
2019;7;6;3;P;1;2;1;341669051;45624;358167174;45624;345285032;45230;362004685;45230
2019;7;6;3;P;1;3;1;175894503;47650;184891612;47720;172841123;46511;182042460;46667
2019;7;6;3;P;1;4;1;151521001;56656;161579255;57236;157739328;53279;168384237;53902
2019;7;6;3;P;1;5;1;;;;;;;;
2019;7;6;3;P;1;6;1;;;;;;;;
2019;7;6;3;P;1;7;1;;;;;;;;
2019;7;6;3;P;1;8;1;;;;;;;;
2019;7;6;3;P;1;9;1;;;;;;;;
2019;7;6;3;P;2;1;1;73887217;7160;77294601;7160;75677366;6508;79142183;6508
2019;7;6;3;P;2;2;1;337665821;43243;353484073;43243;340280004;42175;356321441;42175
2019;7;6;3;P;2;3;1;140047171;31199;147443674;31390;144892812;31693;152441846;31891
2019;7;6;3;P;2;4;1;88680233;33523;94610554;33876;93419723;32104;99661222;32479
2019;7;6;3;P;2;5;1;;;;;;;;
2019;7;6;3;P;2;6;1;;;;;;;;
2019;7;6;3;P;2;7;1;;;;;;;;
2019;7;6;3;P;2;8;1;;;;;;;;
2019;7;6;3;P;2;9;1;;;;;;;;
2019;7;7;3;O;1;1;1;161467348;7568;173245227;7568;162390938;7757;174710364;7757
2019;7;7;3;O;1;2;1;457915644;43327;529543350;43463;456142302;43327;522907314;43473
2019;7;7;3;O;1;3;1;0;0;0;0;;;;
2019;7;7;3;O;1;4;1;104557068;18920;125961531;19339;102352055;18731;122668683;19160
2019;7;7;3;O;1;5;1;1306360;378;1753519;405;1306360;378;1658771;398
2019;7;7;3;O;1;6;1;0;0;0;0;;;;
2019;7;7;3;O;1;7;1;0;0;0;0;;;;
2019;7;7;3;O;1;8;1;0;0;0;0;;;;
