A¤o;Mes;ID_Empresa;Tama¤o;Categor¡a;Sexo;Grupo;Divisi¢n;RO_t_1;HO_t_1;C_t_1;HT_t_1;RO;HO;C;HT
2019;11;4;3;P;2;9;1;71577723;20055;83106330;21405;70629005;20055;80189918;20769
2019;11;5;3;O;1;1;1;8352424;567;8732002;567;8362488;567;9414676;567
2019;11;5;3;O;1;2;1;266252450;30240;285562083;30240;268397023;30429;286579778;30429
2019;11;5;3;O;1;3;1;50693627;9261;54407188;9261;49422858;9261;52513351;9261
2019;11;5;3;O;1;4;1;31616973;7749;33565452;7749;32114022;7391;34439095;7391
2019;11;5;3;O;1;5;1;;;;;;;;
2019;11;5;3;O;1;6;1;;;;;;;;
2019;11;5;3;O;1;7;1;;;;;;;;
2019;11;5;3;O;1;8;1;2146079;756;2287611;756;2108008;756;2251665;756
2019;11;5;3;O;1;9;1;;;;;;;;
2019;11;5;3;O;2;1;1;33295328;1701;36441251;1701;33295328;1701;36241033;1701
2019;11;5;3;O;2;2;1;269601450;27912;287429632;27912;268099453;27783;287802800;27783
2019;11;5;3;O;2;3;1;15607786;2835;16449754;2835;15619787;2835;16822188;2835
2019;11;5;3;O;2;4;1;18449972;4725;20704189;4725;18419498;4725;20947777;4725
2019;11;5;3;O;2;5;1;;;;;;;;
2019;11;5;3;O;2;6;1;;;;;;;;
2019;11;5;3;O;2;7;1;;;;;;;;
2019;11;5;3;O;2;8;1;3548371;1134;4446804;1134;3560484;1134;4262872;1134
2019;11;5;3;O;2;9;1;;;;;;;;
2019;11;6;3;P;1;1;1;75583581;7225;78726010;7225;76866546;7740;80017867;7740
2019;11;6;3;P;1;2;1;353180845;46056;370276561;46056;342416303;46307;358930078;46307
2019;11;6;3;P;1;3;1;175795911;45450;185033838;45591;174246774;46720;183204247;46801
2019;11;6;3;P;1;4;1;163062573;56008;174253879;56659;173779216;55976;184526719;56391
2019;11;6;3;P;1;5;1;;;;;;;;
2019;11;6;3;P;1;6;1;;;;;;;;
2019;11;6;3;P;1;7;1;;;;;;;;
2019;11;6;3;P;1;8;1;;;;;;;;
2019;11;6;3;P;1;9;1;;;;;;;;
2019;11;6;3;P;2;1;1;74670563;6966;78008100;6966;73391059;6837;76723291;6837
2019;11;6;3;P;2;2;1;343127172;40485;359079498;40485;330330108;39447;345584710;39447
2019;11;6;3;P;2;3;1;137896944;29265;145042396;29468;136343159;28961;143010293;29051
2019;11;6;3;P;2;4;1;101538588;34200;108715133;34689;109433138;33794;116072502;34060
2019;11;6;3;P;2;5;1;;;;;;;;
2019;11;6;3;P;2;6;1;;;;;;;;
2019;11;6;3;P;2;7;1;;;;;;;;
2019;11;6;3;P;2;8;1;;;;;;;;
2019;11;6;3;P;2;9;1;;;;;;;;
2019;11;7;3;O;1;1;1;175406268;8272;189301150;8272;177580123;8360;189167324;8360
2019;11;7;3;O;1;2;1;458203436;42456;513729618;42526;452753125;42015;509755888;42342
2019;11;7;3;O;1;3;1;;;;;;;;
2019;11;7;3;O;1;4;1;102824605;18150;122876507;18575;103372487;18358;121286073;18774
2019;11;7;3;O;1;5;1;653180;189;1033949;212;326589;95;624860;108
2019;11;7;3;O;1;6;1;;;;;;;;
2019;11;7;3;O;1;7;1;;;;;;;;
2019;11;7;3;O;1;8;1;;;;;;;;
2019;11;7;3;O;1;9;1;;;;;;;;
2019;11;7;3;O;2;1;1;245198203;10962;261739415;10962;248543630;11151;262334799;11151
2019;11;7;3;O;2;2;1;393374083;34612;440580767;34710;394642044;34814;439806903;34972
2019;11;7;3;O;2;3;1;;;;;;;;
2019;11;7;3;O;2;4;1;38430464;7371;47846590;7648;37993091;7403;46839490;7653
2019;11;7;3;O;2;5;1;10831119;3119;15174169;3493;11157710;3213;17445308;3987
2019;11;7;3;O;2;6;1;;;;;;;;
2019;11;7;3;O;2;7;1;;;;;;;;
2019;11;7;3;O;2;8;1;6281039;1890;9482904;1999;6281039;1890;8217907;1990
2019;11;7;3;O;2;9;1;1159727;378;1559224;418;1159727;378;1494380;422
2019;11;8;3;I;1;1;1;;;;;;;;
2019;11;8;3;I;1;2;1;28105343;4578;30324092;4586;22970935;4063;24747269;4063
2019;11;8;3;I;1;3;1;9075629;2711;9805875;2735;8956704;2670;9625414;2680
2019;11;8;3;I;1;4;1;19786040;7600;22876176;7664;19746744;7577;22631307;7594
2019;11;8;3;I;1;5;1;58319204;24601;64200094;24956;49978477;20758;54487554;20858
2019;11;8;3;I;1;6;1;;;;;;;;
